partida_id,casa,fora,gols_casa,gols_fora,prob_casa,prob_empate,prob_fora,confianca,justificativa
1,mexico,africa-do-sul,2,0,62,24,14,68,"Fator Azteca e forma invicta pesam; Africa do Sul chega sem vencer e com pouco repertorio."
2,coreia-do-sul,tchequia,2,1,42,29,29,55,"Mais talento coreano no terco final; Tchequia fisica e forte na bola parada mantem equilibrio."
3,canada,bosnia,2,1,55,25,20,63,"Casa pressao alta e David favorecem o Canada; Bosnia depende de Dzeko e tem menos velocidade."
4,eua,paraguai,1,0,48,30,22,58,"EUA tem fator casa e mais talento; Paraguai sem Enciso tende a fechar jogo e reduzir margem."
5,catar,suica,0,2,14,24,62,68,"Suica mais experiente e organizada; Catar amadureceu mas sofre contra pressao e ritmo europeu."
6,brasil,marrocos,1,0,47,31,22,54,"Brasil tem elite ofensiva e Ancelotti; Marrocos defende muito e Neymar fora limita o placar."
7,haiti,escocia,0,1,18,29,53,60,"Escocia tem meio mais forte e McTominay em alta; Haiti vem motivado mas ha abismo tecnico."
8,australia,turquia,1,2,30,29,41,52,"Turquia tem mais talento no ultimo terco; Australia e solida e bola aerea deixa margem pequena."
9,alemanha,curacao,3,0,78,14,8,78,"Alemanha tem Wirtz Musiala e elenco muito superior; Curacao e organizado mas enfrenta salto brutal."
10,holanda,japao,2,1,45,28,27,55,"Holanda tem espinha de elite; Japao organizado perde Mitoma e ainda torna a estreia apertada."
11,costa-do-marfim,equador,1,1,31,35,34,46,"Equador defende com elite e Costa do Marfim chega campea africana; duelo fisico de poucos gols."
12,suecia,tunisia,1,0,43,33,24,51,"Isak e Gyokeres dao teto maior; Tunisia fecha bem e deve segurar placar baixo."
13,espanha,cabo-verde,3,0,82,12,6,81,"Espanha e pacote completo e lider do ranking; Cabo Verde organizado mas com teto tecnico baixo."
14,belgica,egito,2,1,52,26,22,60,"Belgica tem Courtois Doku e KDB; Egito depende de Salah e Marmoush para incomodar."
15,arabia-saudita,uruguai,0,2,18,25,57,64,"Uruguai de Bielsa tem Valverde e intensidade; Arabia pode competir mas sofre contra velocidade."
16,ira,nova-zelandia,2,0,59,27,14,65,"Ira e mais competitivo e tem Taremi Azmoun; Nova Zelandia depende quase so de Wood."
17,franca,senegal,2,1,55,25,20,60,"Franca tem Mbappe e elenco absurdo; Senegal atletico cria perigo mas tem menor profundidade."
18,iraque,noruega,0,2,13,22,65,70,"Haaland e Odegaard elevam a Noruega; Iraque tem alma e bola parada mas elenco inferior."
19,argentina,argelia,2,0,70,20,10,75,"Argentina tem coletivo campeao e controle; Argelia tecnica depende de Mahrez e sofre contra elite."
20,austria,jordania,2,0,64,23,13,69,"Pressing da Austria deve sufocar; Jordania estreia com Al-Taamari mas cria pouco volume."
21,portugal,rd-congo,2,1,65,21,14,68,"Portugal tem elenco profundo; RD Congo e fisica e subvalorizada mas cede iniciativa."
22,inglaterra,croacia,1,1,34,36,30,49,"Inglaterra tem elenco top e Tuchel; Croacia costuma travar grupos e Modric controla ritmo."
23,gana,panama,2,1,39,29,32,50,"Kudus e Semenyo dao explosao a Gana; Panama e mais estavel e mantem jogo no detalhe."
24,uzbequistao,colombia,1,2,22,29,49,58,"Colombia tem Diaz e mais talento; Uzbequistao e estreante pronto e deve fechar bem."
