partida_id,fase,rodada,grupo,data_brt,casa,fora,obs
1,grupos,1,A,2026-06-11,mexico,africa-do-sul,abertura
2,grupos,1,A,2026-06-11,coreia-do-sul,tchequia,
3,grupos,1,B,2026-06-12,canada,bosnia,
4,grupos,1,D,2026-06-12,eua,paraguai,
5,grupos,1,B,2026-06-13,catar,suica,
6,grupos,1,C,2026-06-13,brasil,marrocos,estreia do Brasil
7,grupos,1,C,2026-06-13,haiti,escocia,
8,grupos,1,D,2026-06-14,australia,turquia,
9,grupos,1,E,2026-06-14,alemanha,curacao,
10,grupos,1,F,2026-06-14,holanda,japao,
11,grupos,1,E,2026-06-14,costa-do-marfim,equador,
12,grupos,1,F,2026-06-14,suecia,tunisia,
13,grupos,1,H,2026-06-15,espanha,cabo-verde,
14,grupos,1,G,2026-06-15,belgica,egito,
15,grupos,1,H,2026-06-15,arabia-saudita,uruguai,
16,grupos,1,G,2026-06-15,ira,nova-zelandia,
17,grupos,1,I,2026-06-16,franca,senegal,
18,grupos,1,I,2026-06-16,iraque,noruega,
19,grupos,1,J,2026-06-16,argentina,argelia,
20,grupos,1,J,2026-06-17,austria,jordania,
21,grupos,1,K,2026-06-17,portugal,rd-congo,
22,grupos,1,L,2026-06-17,inglaterra,croacia,
23,grupos,1,L,2026-06-17,gana,panama,
24,grupos,1,K,2026-06-17,uzbequistao,colombia,
25,grupos,2,A,2026-06-18,tchequia,africa-do-sul,
26,grupos,2,B,2026-06-18,suica,bosnia,
27,grupos,2,B,2026-06-18,canada,catar,
28,grupos,2,A,2026-06-18,mexico,coreia-do-sul,
29,grupos,2,D,2026-06-19,eua,australia,
30,grupos,2,C,2026-06-19,escocia,marrocos,
31,grupos,2,C,2026-06-19,brasil,haiti,
32,grupos,2,D,2026-06-20,turquia,paraguai,
33,grupos,2,F,2026-06-20,holanda,suecia,
34,grupos,2,E,2026-06-20,alemanha,costa-do-marfim,
35,grupos,2,E,2026-06-20,equador,curacao,
36,grupos,2,F,2026-06-21,tunisia,japao,
37,grupos,2,H,2026-06-21,espanha,arabia-saudita,
38,grupos,2,G,2026-06-21,belgica,ira,
39,grupos,2,H,2026-06-21,uruguai,cabo-verde,
40,grupos,2,G,2026-06-21,nova-zelandia,egito,
41,grupos,2,J,2026-06-22,argentina,austria,
42,grupos,2,I,2026-06-22,franca,iraque,
43,grupos,2,I,2026-06-22,noruega,senegal,
44,grupos,2,J,2026-06-23,jordania,argelia,
45,grupos,2,K,2026-06-23,portugal,uzbequistao,
46,grupos,2,L,2026-06-23,inglaterra,gana,
47,grupos,2,L,2026-06-23,panama,croacia,
48,grupos,2,K,2026-06-23,colombia,rd-congo,
49,grupos,3,B,2026-06-24,suica,canada,
50,grupos,3,B,2026-06-24,bosnia,catar,
51,grupos,3,C,2026-06-24,marrocos,haiti,
52,grupos,3,C,2026-06-24,escocia,brasil,
53,grupos,3,A,2026-06-24,africa-do-sul,coreia-do-sul,
54,grupos,3,A,2026-06-24,tchequia,mexico,
55,grupos,3,E,2026-06-25,curacao,costa-do-marfim,
56,grupos,3,E,2026-06-25,equador,alemanha,
57,grupos,3,F,2026-06-25,tunisia,holanda,
58,grupos,3,F,2026-06-25,japao,suecia,
59,grupos,3,D,2026-06-25,turquia,eua,
60,grupos,3,D,2026-06-25,paraguai,australia,
61,grupos,3,I,2026-06-26,noruega,franca,
62,grupos,3,I,2026-06-26,senegal,iraque,
63,grupos,3,H,2026-06-26,cabo-verde,arabia-saudita,
64,grupos,3,H,2026-06-26,uruguai,espanha,
65,grupos,3,G,2026-06-26,nova-zelandia,belgica,
66,grupos,3,G,2026-06-26,egito,ira,
67,grupos,3,L,2026-06-27,panama,inglaterra,
68,grupos,3,L,2026-06-27,croacia,gana,
69,grupos,3,J,2026-06-27,argentina,jordania,confronto deduzido; data a confirmar pela routine
70,grupos,3,J,2026-06-27,austria,argelia,confronto deduzido; data a confirmar pela routine
71,grupos,3,K,2026-06-27,portugal,colombia,confronto deduzido; data a confirmar pela routine
72,grupos,3,K,2026-06-27,rd-congo,uzbequistao,confronto deduzido; data a confirmar pela routine
73,16avos,,,2026-06-28,canada,africa-do-sul,16 avos (2A x 2B)
74,16avos,,,2026-06-29,alemanha,paraguai,16 avos (1E x 3D)
75,16avos,,,2026-06-29,holanda,marrocos,16 avos (1F x 2C)
76,16avos,,,2026-06-29,brasil,japao,16 avos (1C x 2F)
77,16avos,,,2026-06-30,franca,suecia,16 avos (1I x 3F)
78,16avos,,,2026-06-30,costa-do-marfim,noruega,16 avos (2E x 2I)
79,16avos,,,2026-06-30,mexico,equador,16 avos (1A x 3E)
80,16avos,,,2026-07-01,inglaterra,rd-congo,16 avos (1L x 3K)
81,16avos,,,2026-07-01,eua,bosnia,16 avos (1D x 3B)
82,16avos,,,2026-07-01,belgica,senegal,16 avos (1G x 3I)
83,16avos,,,2026-07-02,portugal,croacia,16 avos (2K x 2L)
84,16avos,,,2026-07-02,espanha,austria,16 avos (1H x 2J)
85,16avos,,,2026-07-02,suica,argelia,16 avos (1B x 3J)
86,16avos,,,2026-07-03,argentina,cabo-verde,16 avos (1J x 2H)
87,16avos,,,2026-07-03,colombia,gana,16 avos (1K x 3L)
88,16avos,,,2026-07-03,australia,egito,16 avos (2D x 2G)
89,oitavas,,,2026-07-04,paraguai,franca,oitavas (V74 x V77)
90,oitavas,,,2026-07-04,canada,marrocos,oitavas (V73 x V75)
91,oitavas,,,2026-07-05,brasil,noruega,oitavas (V76 x V78) — East Rutherford/NY
92,oitavas,,,2026-07-05,mexico,inglaterra,oitavas (V79 x V80) — Cidade do México (Azteca)
93,oitavas,,,2026-07-06,portugal,espanha,oitavas (V83 x V84) — Arlington/TX
94,oitavas,,,2026-07-06,eua,belgica,oitavas (V81 x V82) — Seattle
95,oitavas,,,2026-07-07,argentina,egito,oitavas (V86 x V88) — Atlanta
96,oitavas,,,2026-07-07,suica,colombia,oitavas (V85 x V87) — Vancouver
97,quartas,,,2026-07-09,franca,marrocos,quartas (V89 x V90) — sede/data oficial a confirmar
99,quartas,,,2026-07-10,noruega,inglaterra,quartas (V91 x V92) — sede/data oficial a confirmar
