partida_id,casa,fora,gols_casa,gols_fora,prob_casa,prob_empate,prob_fora,confianca,justificativa
1,mexico,africa-do-sul,2,1,56,26,18,60,"Anfitrião invicto há 8 jogos com fator casa (Azteca, altitude). África do Sul, 60ª e sem vencer há 5, sofre fora."
2,coreia-do-sul,tchequia,2,1,44,29,27,50,"Coreia tem mais talento (Son, Lee Kang-in) e velocidade nas pontas, ponto fraco da Tchéquia, que volta após 20 anos."
3,canada,bosnia,2,0,60,24,16,63,"Canadá joga em casa com Davies e J. David; Bósnia é lenta na transição e tem Džeko (ombro) em dúvida."
4,eua,paraguai,1,0,43,32,25,45,"EUA mandante leva leve vantagem; Paraguai é muralha, mas perde Enciso, seu craque, e cria pouco."
5,catar,suica,0,2,18,26,56,60,"Suíça é mais experiente e organizada (Xhaka, Kobel); Catar sofre contra a pressão alta europeia."
6,brasil,marrocos,2,1,49,27,24,52,"Brasil tem ataque superior (Vini, Raphinha); Marrocos defende bem, mas estreia técnico novo (Ouahbi)."
7,haiti,escocia,1,2,24,28,48,48,"Escócia tem mais qualidade (McTominay em alta); Haiti embalado pode marcar, mas o abismo técnico pesa."
8,australia,turquia,1,2,30,30,40,44,"Turquia tem o maior teto do grupo (Güler, Yıldız); Austrália é sólida, mas cria pouco. Jogo equilibrado."
9,alemanha,curacao,3,0,72,18,10,66,"Alemanha muito superior (Musiala, Wirtz, Neuer) diante do estreante Curaçao. Goleada provável."
10,holanda,japao,2,1,45,29,26,46,"Holanda favorita (Van Dijk, Gakpo); Japão é perigoso, mas perde Mitoma, lesionado. Jogo de detalhes."
11,costa-do-marfim,equador,1,1,29,37,34,42,"Duas das melhores defesas da Copa (Pacho/Caicedo x bloco marfinense). Empate de poucos gols é provável."
12,suecia,tunisia,1,0,42,33,25,42,"Suécia tem Isak e Gyökeres para decidir jogo truncado; Tunísia é muralha de placares baixos."
13,espanha,cabo-verde,3,0,74,17,9,68,"Espanha é a nº1 do mundo e favorita ao título; Cabo Verde, estreante, tem o menor teto técnico."
14,belgica,egito,2,1,50,27,23,50,"Bélgica tem mais elenco (Courtois, Doku); Egito depende de Salah e Marmoush na transição."
15,arabia-saudita,uruguai,0,2,20,26,54,57,"Uruguai de Bielsa é muito superior; a defesa lenta saudita sofre com a intensidade vertical."
16,ira,nova-zelandia,2,0,52,28,20,50,"Irã é mais forte (Taremi, Azmoun) que uma NZ dependente só de Chris Wood, que pode travar o jogo."
17,franca,senegal,2,1,50,27,23,48,"França tem ataque de elite (Mbappé, Dembélé); Senegal atlético é perigoso e já bateu a França em 2002."
18,iraque,noruega,0,2,20,27,53,52,"Noruega tem Haaland e Ødegaard decisivos; Iraque aposta na emoção, mas o elenco é inferior."
19,argentina,argelia,2,0,62,24,14,60,"Argentina campeã e muito superior; Argélia é técnica, mas sem físico/pragmatismo contra a elite."
20,austria,jordania,2,0,60,25,15,55,"Áustria de Rangnick pressiona e domina; Jordânia, estreante, depende só de Al-Taamari."
21,portugal,rd-congo,2,1,54,26,20,52,"Portugal tem elenco mais profundo; RD Congo é forte (Wissa, Mbeumo) e pode marcar na transição."
22,inglaterra,croacia,2,1,45,30,25,44,"Inglaterra fez eliminatória perfeita; Croácia tem meio velho (Modrić, 40), mas nunca é fácil."
23,gana,panama,1,1,34,35,31,38,"Briga pela 3ª vaga: Gana (Kudus, Semenyo) x Panamá organizado. Equilíbrio total, empate provável."
24,uzbequistao,colombia,0,2,20,30,50,48,"Colômbia tem ataque muito superior (L. Díaz, James); Uzbequistão estreante defende bem, mas cria pouco."
